"Отметка времени","ID_People","1. Из каких систем вы собираете данные для анализа?","2. Насколько критична для ваших бизнес-процессов синхронизация данных в реальном времени по сравнению с периодическим обновлением?","3. Какие инструменты и технологии вы используете для текущей интеграции данных?","4. Насколько эти используемые инструменты и технологии удовлетворяют ваши потребности?","5. Сталкивались ли вы с проблемами при масштабировании текущих решений по интеграции?","6. Какие типы проблем с качеством данных наиболее распространены?","7. Существуют ли у вас правила или процессы для управления качеством данных после их интеграции?","8. Как вы отслеживаете конфликты, возникающие из-за противоречий в данных из разных систем?","9. Как вы разрешаете конфликты, возникающие из-за противоречий в данных из разных систем?","10. Как вы обеспечиваете безопасность и конфиденциальность данных в процессе интеграции?","11. Какие вы используете политики доступа к интегрированным данным?","12. Если бы вы могли решить одну самую важную проблему, связанную с разрозненными данными, чтобы это было?","13. Какие новые аналитические возможности или бизнес-инициативы вы смогли бы реализовать имея единое хранилище интегрированных данных?"
"2025/10/26 11:30:17 PM GMT+3","32","SQL-базы","Важно","Интеграционная шина (EBS)","Полностью удовлетворяют","Периодически","Некорректные значения","Есть перечень правил","Используется мониторинг и логирование","Применение бизнес-правил","Двухфакторная аутентификация","Контроль доступа на основе атрибутов (ABAC)","Использование единых справочников ","Получение корректной отчётности и статистики"
"2025/10/26 11:04:36 PM GMT+3","33","SQL-базы","Важно","API-интеграция","Скорее удовлетворяют","Редко","Дубликаты данных","Есть описанные процессы","Используется сравнение контрольных сумм","Применение бизнес-правил","Принцип наименьших привилегий","Принцип наименьших привилегий (PoLP)","Проблему взаимных блокировок при дублировании данных","Масштабирование и быстро действие систем"
"2025/10/26 8:40:50 AM GMT+3","34","ERP","Критично","Микросервисы","Скорее не удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется мониторинг и логирование","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/26 8:40:07 AM GMT+3","34","Облачные сервисы","Не важно","Микросервисы","Скорее не удовлетворяют","Постоянно","Пропуски данных","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Векторы версий и CRDTs","Двухфакторная аутентификация","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/26 11:20:46 AM GMT+3","35","CRM","Не очень важно","Микросервисы","Скорее удовлетворяют","Не сталкиваюсь","Некорректные значения","Есть описанные процессы","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/26 10:31:39 PM GMT+3","36","CRM","Важно","Ручное выполнение","Полностью удовлетворяют","Периодически","Дубликаты данных","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Шифрование","Аудит и мониторинг доступа","Использование AI","Хз"
"2025/10/26 11:04:36 PM GMT+3","37","SQL-базы","Важно","API-интеграция","Скорее удовлетворяют","Редко","Дубликаты данных","Есть описанные процессы","Используется сравнение контрольных сумм","Применение бизнес-правил","Принцип наименьших привилегий","Принцип наименьших привилегий (PoLP)","Проблему взаимных блокировок при дублировании данных","Масштабирование и быстро действие систем"
"2025/10/26 12:33:33 PM GMT+3","37","SQL-базы","Важно","Файловый обмен","Скорее удовлетворяют","Постоянно","Пропуски данных","Есть описанные процессы","Используется мониторинг и логирование","Применение бизнес-правил","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
"2025/10/26 11:30:17 PM GMT+3","37","SQL-базы","Важно","Интеграционная шина (EBS)","Полностью удовлетворяют","Периодически","Некорректные значения","Есть перечень правил","Используется мониторинг и логирование","Применение бизнес-правил","Двухфакторная аутентификация","Контроль доступа на основе атрибутов (ABAC)","Использование единых справочников ","Получение корректной отчётности и статистики"
"2025/10/26 10:31:39 PM GMT+3","38","CRM","Важно","Ручное выполнение","Полностью удовлетворяют","Периодически","Дубликаты данных","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Шифрование","Аудит и мониторинг доступа","Использование AI","Хз"
"2025/10/26 8:40:07 AM GMT+3","39","Облачные сервисы","Не важно","Микросервисы","Скорее не удовлетворяют","Постоянно","Пропуски данных","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Векторы версий и CRDTs","Двухфакторная аутентификация","Детализация доступа на уровне данных","нет","нет"
"2025/10/26 8:40:50 AM GMT+3","39","ERP","Критично","Микросервисы","Скорее не удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется мониторинг и логирование","Арбитраж","Принцип наименьших привилегий","Ролевая модель доступа (RBAC)","нет","нет"
"2025/10/26 8:39:42 AM GMT+3","40","Excel","Не важно","Интеграционная шина (EBS)","Скорее удовлетворяют","Не сталкиваюсь","Некорректные значения","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","нет","нет"
